wine,category,vintage,price,location,quantity
Louis Roederer Cristal 2009,Champagne & Sparkling,2009,360,Main Cellar A2,1
Salon Le Mesnil Blanc de Blancs 2009,Champagne & Sparkling,2009,355,Wine Fridge Starboard,1
Krug Grande Cuvée 2019,Champagne & Sparkling,2019,720,Guest Pantry 2,1
Krug Vintage 2019,Champagne & Sparkling,2019,640,Main Cellar B3,1
Pol Roger Sir Winston Churchill 2014,Champagne & Sparkling,2014,630,Guest Pantry 2,1
Krug Vintage 2021,Champagne & Sparkling,2021,320,Main Cellar A2,1
Krug Clos du Mesnil 2008,Champagne & Sparkling,2008,610,Main Cellar A1,1
Krug Clos du Mesnil 2015,Champagne & Sparkling,2015,505,Wine Fridge Starboard,1
Pol Roger Sir Winston Churchill 2012,Champagne & Sparkling,2012,365,Main Cellar B1,1
Taittinger Comtes de Champagne 2008,Champagne & Sparkling,2008,1025,Main Cellar A2,1
Taittinger Comtes de Champagne 2008,Champagne & Sparkling,2008,515,Fridge 1,1
Salon Le Mesnil Blanc de Blancs 2009,Champagne & Sparkling,2009,630,Wine Fridge Port,1
Salon Le Mesnil Blanc de Blancs 2018,Champagne & Sparkling,2018,485,Guest Pantry 2,1
Dom Pérignon 2014,Champagne & Sparkling,2014,500,Guest Pantry 2,1
Pol Roger Sir Winston Churchill 2018,Champagne & Sparkling,2018,405,Wine Fridge Port,1
Bollinger La Grande Année 2016,Champagne & Sparkling,2016,550,Wine Fridge Port,1
Krug Grande Cuvée 2008,Champagne & Sparkling,2008,560,Wine Fridge Starboard,1
Krug Grande Cuvée 2008,Champagne & Sparkling,2008,590,Main Cellar A2,1
Taittinger Comtes de Champagne 2012,Champagne & Sparkling,2012,725,Wine Fridge Port,1
Taittinger Comtes de Champagne 2015,Champagne & Sparkling,2015,480,Wine Fridge Port,1
Krug Grande Cuvée 2009,Champagne & Sparkling,2009,380,Guest Pantry 1,1
Krug Grande Cuvée 2005,Champagne & Sparkling,2005,255,Main Cellar A2,1
Pol Roger Sir Winston Churchill 2018,Champagne & Sparkling,2018,450,Wine Fridge Port,1
Veuve Clicquot La Grande Dame 2009,Champagne & Sparkling,2009,390,Wine Fridge Port,1
Pol Roger Sir Winston Churchill 2009,Champagne & Sparkling,2009,290,Wine Fridge Port,1
Dom Pérignon 2009,Champagne & Sparkling,2009,525,Main Cellar A2,1
Bollinger La Grande Année 2012,Champagne & Sparkling,2012,380,Main Cellar A2,1
Salon Le Mesnil Blanc de Blancs 2005,Champagne & Sparkling,2005,505,Main Cellar A2,1
Krug Clos du Mesnil 2019,Champagne & Sparkling,2019,675,Guest Pantry 2,1
Krug Clos du Mesnil 2008,Champagne & Sparkling,2008,630,Main Cellar A2,1
Bollinger La Grande Année 2008,Champagne & Sparkling,2008,435,Main Cellar B3,1
Krug Clos du Mesnil 2014,Champagne & Sparkling,2014,730,Fridge 1,1
Salon Le Mesnil Blanc de Blancs 2012,Champagne & Sparkling,2012,455,Main Cellar A2,1
Louis Roederer Cristal 2012,Champagne & Sparkling,2012,295,Main Cellar A1,1
Bollinger La Grande Année 2016,Champagne & Sparkling,2016,390,Wine Fridge Starboard,1
Dom Pérignon 2005,Champagne & Sparkling,2005,995,Main Cellar B3,1
Krug Vintage 2010,Champagne & Sparkling,2010,890,Guest Pantry 1,1
Krug Grande Cuvée 2008,Champagne & Sparkling,2008,450,Fridge 1,1
Dom Pérignon 2008,Champagne & Sparkling,2008,585,Wine Fridge Port,1
Taittinger Comtes de Champagne 2015,Champagne & Sparkling,2015,435,Main Cellar A1,1
Krug Clos du Mesnil 2005,Champagne & Sparkling,2005,385,Guest Pantry 1,1
Krug Grande Cuvée 2005,Champagne & Sparkling,2005,495,Main Cellar B3,1
Krug Vintage 2005,Champagne & Sparkling,2005,385,Fridge 2,1
Krug Grande Cuvée 2016,Champagne & Sparkling,2016,190,Wine Fridge Starboard,1
Krug Clos du Mesnil 2016,Champagne & Sparkling,2016,755,Main Cellar B3,1
Krug Vintage 2010,Champagne & Sparkling,2010,615,Guest Pantry 1,1
Dom Pérignon 2009,Champagne & Sparkling,2009,505,Guest Pantry 1,1
Pol Roger Sir Winston Churchill 2019,Champagne & Sparkling,2019,550,Main Cellar A1,1
Dom Pérignon 2002,Champagne & Sparkling,2002,675,Main Cellar A1,1
Taittinger Comtes de Champagne 2009,Champagne & Sparkling,2009,325,Fridge 2,1
Krug Vintage 2019,Champagne & Sparkling,2019,450,Fridge 1,1
Pol Roger Sir Winston Churchill 2014,Champagne & Sparkling,2014,675,Main Cellar B3,1
Salon Le Mesnil Blanc de Blancs 2009,Champagne & Sparkling,2009,430,Main Cellar B1,1
Bollinger La Grande Année 2002,Champagne & Sparkling,2002,480,Guest Pantry 1,1
Bollinger La Grande Année 2002,Champagne & Sparkling,2002,435,Main Cellar A2,1
Bollinger La Grande Année 2019,Champagne & Sparkling,2019,840,Guest Pantry 1,1
Krug Grande Cuvée 2008,Champagne & Sparkling,2008,415,Main Cellar B1,1
Dom Pérignon 2002,Champagne & Sparkling,2002,425,Wine Fridge Port,1
Louis Roederer Cristal 2002,Champagne & Sparkling,2002,1455,Guest Pantry 1,1
Salon Le Mesnil Blanc de Blancs 2008,Champagne & Sparkling,2008,720,Fridge 2,1
Dom Pérignon 2019,Champagne & Sparkling,2019,460,Main Cellar B3,1
Salon Le Mesnil Blanc de Blancs 2002,Champagne & Sparkling,2002,930,Main Cellar B1,1
Bollinger La Grande Année 2002,Champagne & Sparkling,2002,725,Fridge 1,1
Krug Grande Cuvée 2010,Champagne & Sparkling,2010,405,Wine Fridge Port,1
Krug Clos du Mesnil 2017,Champagne & Sparkling,2017,405,Wine Fridge Starboard,1
Bollinger La Grande Année 2012,Champagne & Sparkling,2012,415,Guest Pantry 1,1
Veuve Clicquot La Grande Dame 2008,Champagne & Sparkling,2008,275,Main Cellar A1,1
Taittinger Comtes de Champagne 2014,Champagne & Sparkling,2014,425,Main Cellar B1,1
Taittinger Comtes de Champagne 2016,Champagne & Sparkling,2016,205,Wine Fridge Starboard,1
Krug Grande Cuvée 2019,Champagne & Sparkling,2019,205,Main Cellar B3,1
Krug Vintage 2002,Champagne & Sparkling,2002,290,Main Cellar B1,1
Louis Roederer Cristal 2014,Champagne & Sparkling,2014,620,Main Cellar A1,1
Taittinger Comtes de Champagne 2009,Champagne & Sparkling,2009,280,Fridge 2,1
Dom Pérignon 2015,Champagne & Sparkling,2015,575,Wine Fridge Port,1
Taittinger Comtes de Champagne 2019,Champagne & Sparkling,2019,225,Wine Fridge Port,1
Krug Vintage 2019,Champagne & Sparkling,2019,205,Guest Pantry 1,1
Salon Le Mesnil Blanc de Blancs 2009,Champagne & Sparkling,2009,525,Main Cellar B3,1
Pol Roger Sir Winston Churchill 2014,Champagne & Sparkling,2014,1110,Guest Pantry 1,1
Krug Grande Cuvée 2019,Champagne & Sparkling,2019,730,Main Cellar B3,1
Krug Vintage 2008,Champagne & Sparkling,2008,335,Guest Pantry 1,1
Veuve Clicquot La Grande Dame 2008,Champagne & Sparkling,2008,815,Main Cellar A1,1
Pol Roger Sir Winston Churchill 2015,Champagne & Sparkling,2015,430,Main Cellar B3,1
Pol Roger Sir Winston Churchill 2005,Champagne & Sparkling,2005,905,Wine Fridge Port,1
Dom Pérignon 2015,Champagne & Sparkling,2015,370,Wine Fridge Port,1
Salon Le Mesnil Blanc de Blancs 2005,Champagne & Sparkling,2005,485,Fridge 2,1
Krug Grande Cuvée 2015,Champagne & Sparkling,2015,745,Fridge 2,1
Dom Pérignon 2009,Champagne & Sparkling,2009,590,Main Cellar B3,1
Krug Vintage 2005,Champagne & Sparkling,2005,655,Guest Pantry 2,1
Krug Clos du Mesnil 2019,Champagne & Sparkling,2019,705,Wine Fridge Port,1
Dom Pérignon 1999,Champagne & Sparkling,1999,325,Fridge 2,1
Bollinger La Grande Année 2008,Champagne & Sparkling,2008,685,Main Cellar A1,1
Pol Roger Sir Winston Churchill 2015,Champagne & Sparkling,2015,255,Fridge 1,1
Louis Roederer Cristal 2012,Champagne & Sparkling,2012,690,Main Cellar A2,1
Louis Roederer Cristal 2012,Champagne & Sparkling,2012,460,Main Cellar A2,1
Salon Le Mesnil Blanc de Blancs 2002,Champagne & Sparkling,2002,200,Guest Pantry 1,1
Dom Pérignon 2005,Champagne & Sparkling,2005,155,Wine Fridge Starboard,1
Krug Vintage 2014,Champagne & Sparkling,2014,1295,Guest Pantry 1,1
Krug Grande Cuvée 2005,Champagne & Sparkling,2005,865,Main Cellar B1,1
Salon Le Mesnil Blanc de Blancs 2014,Champagne & Sparkling,2014,570,Wine Fridge Port,1
Louis Roederer Cristal 2012,Champagne & Sparkling,2012,515,Main Cellar A1,1
Bollinger La Grande Année 2016,Champagne & Sparkling,2016,290,Main Cellar B3,1
Krug Vintage 1997,Champagne & Sparkling,1997,275,Main Cellar B1,1
Dom Pérignon 2002,Champagne & Sparkling,2002,640,Wine Fridge Port,1
Krug Clos du Mesnil 2015,Champagne & Sparkling,2015,340,Guest Pantry 1,1
Dom Pérignon 2019,Champagne & Sparkling,2019,560,Main Cellar B3,1
Dom Pérignon 2016,Champagne & Sparkling,2016,415,Main Cellar B1,1
Krug Vintage 2016,Champagne & Sparkling,2016,380,Fridge 2,1
Taittinger Comtes de Champagne 2015,Champagne & Sparkling,2015,1540,Fridge 2,1
Bollinger La Grande Année 2016,Champagne & Sparkling,2016,200,Main Cellar B3,1
Salon Le Mesnil Blanc de Blancs 2008,Champagne & Sparkling,2008,415,Main Cellar B3,1
Louis Roederer Cristal 2018,Champagne & Sparkling,2018,545,Main Cellar B3,1
Krug Grande Cuvée 2014,Champagne & Sparkling,2014,270,Main Cellar B3,1
Bollinger La Grande Année 2012,Champagne & Sparkling,2012,765,Main Cellar A1,1
Pol Roger Sir Winston Churchill 2018,Champagne & Sparkling,2018,585,Wine Fridge Port,1
Taittinger Comtes de Champagne 2009,Champagne & Sparkling,2009,440,Main Cellar A2,1
Dom Pérignon 2014,Champagne & Sparkling,2014,315,Guest Pantry 1,1
Krug Grande Cuvée 2002,Champagne & Sparkling,2002,615,Fridge 1,1
Pol Roger Sir Winston Churchill 2015,Champagne & Sparkling,2015,725,Wine Fridge Port,1
Pol Roger Sir Winston Churchill 2009,Champagne & Sparkling,2009,460,Main Cellar A2,1
Salon Le Mesnil Blanc de Blancs 2008,Champagne & Sparkling,2008,235,Fridge 2,1
Krug Vintage 2002,Champagne & Sparkling,2002,425,Main Cellar A1,1
Krug Clos du Mesnil 2018,Champagne & Sparkling,2018,815,Guest Pantry 1,1
Krug Clos du Mesnil 2010,Champagne & Sparkling,2010,340,Wine Fridge Port,1
Bollinger La Grande Année 2005,Champagne & Sparkling,2005,630,Wine Fridge Starboard,1
Salon Le Mesnil Blanc de Blancs 2010,Champagne & Sparkling,2010,575,Main Cellar B3,1
Veuve Clicquot La Grande Dame 2002,Champagne & Sparkling,2002,155,Guest Pantry 1,1
Louis Roederer Cristal 2009,Champagne & Sparkling,2009,325,Fridge 2,1
Taittinger Comtes de Champagne 2016,Champagne & Sparkling,2016,475,Guest Pantry 1,1
Krug Grande Cuvée 2009,Champagne & Sparkling,2009,1450,Fridge 2,1
Bollinger La Grande Année 2010,Champagne & Sparkling,2010,495,Guest Pantry 2,1
Salon Le Mesnil Blanc de Blancs 2002,Champagne & Sparkling,2002,735,Guest Pantry 2,1
Bollinger La Grande Année 2019,Champagne & Sparkling,2019,440,Guest Pantry 1,1
Taittinger Comtes de Champagne 2009,Champagne & Sparkling,2009,475,Fridge 2,1
Salon Le Mesnil Blanc de Blancs 2009,Champagne & Sparkling,2009,480,Guest Pantry 1,1
Krug Vintage 2015,Champagne & Sparkling,2015,635,Wine Fridge Starboard,1
Krug Clos du Mesnil 2015,Champagne & Sparkling,2015,255,Wine Fridge Starboard,1
Krug Clos du Mesnil 2002,Champagne & Sparkling,2002,640,Main Cellar B3,1
Krug Grande Cuvée 2008,Champagne & Sparkling,2008,250,Main Cellar B1,1
Bollinger La Grande Année 2010,Champagne & Sparkling,2010,660,Guest Pantry 2,1
Krug Vintage 2008,Champagne & Sparkling,2008,405,Wine Fridge Port,1
Pol Roger Sir Winston Churchill 2010,Champagne & Sparkling,2010,595,Fridge 1,1
Louis Roederer Cristal 2015,Champagne & Sparkling,2015,470,Guest Pantry 1,1
Krug Vintage 2014,Champagne & Sparkling,2014,475,Main Cellar A2,1
Taittinger Comtes de Champagne 2009,Champagne & Sparkling,2009,265,Guest Pantry 1,1
Bollinger La Grande Année 2002,Champagne & Sparkling,2002,780,Fridge 2,1
Salon Le Mesnil Blanc de Blancs 2016,Champagne & Sparkling,2016,595,Guest Pantry 2,1
Pol Roger Sir Winston Churchill 2019,Champagne & Sparkling,2019,405,Fridge 1,1
Salon Le Mesnil Blanc de Blancs 2019,Champagne & Sparkling,2019,470,Main Cellar A1,1
Pol Roger Sir Winston Churchill 2002,Champagne & Sparkling,2002,405,Guest Pantry 1,1
Salon Le Mesnil Blanc de Blancs 2005,Champagne & Sparkling,2005,640,Guest Pantry 1,1
Louis Roederer Cristal 2002,Champagne & Sparkling,2002,365,Guest Pantry 1,1
Louis Roederer Cristal 2010,Champagne & Sparkling,2010,980,Main Cellar A2,1
Krug Grande Cuvée 2009,Champagne & Sparkling,2009,470,Main Cellar A2,1
Pol Roger Sir Winston Churchill 2015,Champagne & Sparkling,2015,705,Guest Pantry 1,1
Bollinger La Grande Année 2015,Champagne & Sparkling,2015,405,Main Cellar B1,1
Pol Roger Sir Winston Churchill 2002,Champagne & Sparkling,2002,590,Main Cellar B1,1
Veuve Clicquot La Grande Dame 2012,Champagne & Sparkling,2012,230,Guest Pantry 2,1
Pol Roger Sir Winston Churchill 2018,Champagne & Sparkling,2018,605,Main Cellar B1,1
Salon Le Mesnil Blanc de Blancs 2005,Champagne & Sparkling,2005,530,Main Cellar A1,1
Pol Roger Sir Winston Churchill 2016,Champagne & Sparkling,2016,255,Main Cellar A2,1
Krug Vintage 2018,Champagne & Sparkling,2018,1415,Main Cellar A2,1
Salon Le Mesnil Blanc de Blancs 2014,Champagne & Sparkling,2014,230,Fridge 2,1
Krug Clos du Mesnil 2008,Champagne & Sparkling,2008,470,Fridge 1,1
Pol Roger Sir Winston Churchill 2019,Champagne & Sparkling,2019,485,Main Cellar A2,1
Dom Pérignon 2010,Champagne & Sparkling,2010,810,Wine Fridge Starboard,1
Dom Pérignon 2010,Champagne & Sparkling,2010,450,Main Cellar B3,1
Krug Clos du Mesnil 2009,Champagne & Sparkling,2009,340,Main Cellar B1,1
Dom Pérignon 2009,Champagne & Sparkling,2009,380,Main Cellar B3,1
Taittinger Comtes de Champagne 2009,Champagne & Sparkling,2009,690,Main Cellar A2,1
Pol Roger Sir Winston Churchill 2005,Champagne & Sparkling,2005,1175,Main Cellar B3,1
Pol Roger Sir Winston Churchill 2002,Champagne & Sparkling,2002,475,Guest Pantry 1,1
Salon Le Mesnil Blanc de Blancs 2002,Champagne & Sparkling,2002,725,Wine Fridge Starboard,1
Salon Le Mesnil Blanc de Blancs 2012,Champagne & Sparkling,2012,1425,Wine Fridge Port,1
Krug Clos du Mesnil 2018,Champagne & Sparkling,2018,440,Main Cellar A1,1
Krug Vintage 2018,Champagne & Sparkling,2018,1005,Wine Fridge Starboard,1
Louis Roederer Cristal 2002,Champagne & Sparkling,2002,390,Main Cellar B3,1
Dom Pérignon 2018,Champagne & Sparkling,2018,560,Main Cellar B3,1
Krug Grande Cuvée 2012,Champagne & Sparkling,2012,320,Wine Fridge Starboard,1
Dom Pérignon 2009,Champagne & Sparkling,2009,585,Main Cellar A1,1
Pol Roger Sir Winston Churchill 2015,Champagne & Sparkling,2015,560,Fridge 1,1
Taittinger Comtes de Champagne 2019,Champagne & Sparkling,2019,500,Wine Fridge Port,1
Krug Vintage 2008,Champagne & Sparkling,2008,345,Guest Pantry 1,1
Dom Pérignon 2002,Champagne & Sparkling,2002,570,Guest Pantry 1,1
Veuve Clicquot La Grande Dame 2014,Champagne & Sparkling,2014,210,Guest Pantry 2,1
Salon Le Mesnil Blanc de Blancs 2008,Champagne & Sparkling,2008,725,Fridge 1,1
Salon Le Mesnil Blanc de Blancs 2014,Champagne & Sparkling,2014,680,Main Cellar A2,1
Bollinger La Grande Année 2012,Champagne & Sparkling,2012,355,Fridge 2,1
Krug Clos du Mesnil 2002,Champagne & Sparkling,2002,585,Fridge 1,1
Krug Vintage 2018,Champagne & Sparkling,2018,500,Guest Pantry 2,1
Taittinger Comtes de Champagne 2008,Champagne & Sparkling,2008,395,Main Cellar B1,1
Krug Vintage 2014,Champagne & Sparkling,2014,575,Fridge 2,1
Salon Le Mesnil Blanc de Blancs 2008,Champagne & Sparkling,2008,495,Fridge 2,1
Louis Roederer Cristal 2018,Champagne & Sparkling,2018,410,Fridge 1,1
Krug Vintage 2018,Champagne & Sparkling,2018,320,Main Cellar B3,1
Veuve Clicquot La Grande Dame 2018,Champagne & Sparkling,2018,190,Main Cellar B3,1
Pol Roger Sir Winston Churchill 2018,Champagne & Sparkling,2018,505,Wine Fridge Port,1
Krug Clos du Mesnil 2012,Champagne & Sparkling,2012,725,Main Cellar A2,1
Krug Clos du Mesnil 2003,Champagne & Sparkling,2003,520,Wine Fridge Port,1
Krug Grande Cuvée 2012,Champagne & Sparkling,2012,355,Main Cellar A2,1
Bollinger La Grande Année 2015,Champagne & Sparkling,2015,255,Guest Pantry 1,1
Bollinger La Grande Année 2018,Champagne & Sparkling,2018,380,Main Cellar B3,1
Bollinger La Grande Année 2019,Champagne & Sparkling,2019,320,Main Cellar B1,1
Krug Grande Cuvée 2018,Champagne & Sparkling,2018,685,Fridge 2,1
Pol Roger Sir Winston Churchill 2015,Champagne & Sparkling,2015,495,Fridge 2,1
Krug Clos du Mesnil 2015,Champagne & Sparkling,2015,210,Fridge 1,1
Krug Vintage 2008,Champagne & Sparkling,2008,355,Fridge 2,1
Taittinger Comtes de Champagne 2019,Champagne & Sparkling,2019,645,Main Cellar A1,1
Krug Grande Cuvée 2008,Champagne & Sparkling,2008,870,Wine Fridge Port,1
Krug Vintage 2016,Champagne & Sparkling,2016,665,Fridge 1,1
Krug Clos du Mesnil 2005,Champagne & Sparkling,2005,960,Main Cellar A2,1
Salon Le Mesnil Blanc de Blancs 2015,Champagne & Sparkling,2015,455,Guest Pantry 1,1
Krug Clos du Mesnil 2017,Champagne & Sparkling,2017,540,Guest Pantry 2,1
Veuve Clicquot La Grande Dame 2010,Champagne & Sparkling,2010,430,Main Cellar B1,1
Louis Roederer Cristal 2010,Champagne & Sparkling,2010,700,Guest Pantry 1,1
Taittinger Comtes de Champagne 2009,Champagne & Sparkling,2009,355,Wine Fridge Starboard,1
Dom Pérignon 2016,Champagne & Sparkling,2016,480,Main Cellar B3,1
Krug Clos du Mesnil 2008,Champagne & Sparkling,2008,710,Guest Pantry 1,1
Louis Roederer Cristal 2008,Champagne & Sparkling,2008,505,Wine Fridge Port,1
Krug Grande Cuvée 2012,Champagne & Sparkling,2012,325,Fridge 2,1
Taittinger Comtes de Champagne 2018,Champagne & Sparkling,2018,320,Guest Pantry 1,1
Taittinger Comtes de Champagne 2014,Champagne & Sparkling,2014,190,Guest Pantry 2,1
Dom Pérignon 2012,Champagne & Sparkling,2012,320,Main Cellar A2,1
Pol Roger Sir Winston Churchill 2008,Champagne & Sparkling,2008,380,Wine Fridge Starboard,1
Krug Grande Cuvée 2016,Champagne & Sparkling,2016,455,Wine Fridge Starboard,1
Louis Roederer Cristal 2002,Champagne & Sparkling,2002,880,Main Cellar A1,1
Salon Le Mesnil Blanc de Blancs 2010,Champagne & Sparkling,2010,320,Wine Fridge Port,1
Louis Roederer Cristal 2008,Champagne & Sparkling,2008,335,Fridge 2,1
Salon Le Mesnil Blanc de Blancs 2019,Champagne & Sparkling,2019,530,Wine Fridge Starboard,1
Louis Roederer Cristal 2005,Champagne & Sparkling,2005,480,Wine Fridge Port,1
Louis Roederer Cristal 2009,Champagne & Sparkling,2009,335,Main Cellar B1,1
Salon Le Mesnil Blanc de Blancs 2018,Champagne & Sparkling,2018,565,Fridge 2,1
Krug Clos du Mesnil 2002,Champagne & Sparkling,2002,630,Main Cellar B1,1
Pol Roger Sir Winston Churchill 2005,Champagne & Sparkling,2005,405,Main Cellar B1,1
Dom Pérignon 2010,Champagne & Sparkling,2010,540,Wine Fridge Port,1
Louis Roederer Cristal 2019,Champagne & Sparkling,2019,450,Wine Fridge Starboard,1
Pol Roger Sir Winston Churchill 2016,Champagne & Sparkling,2016,450,Main Cellar A1,1
Krug Grande Cuvée 2016,Champagne & Sparkling,2016,325,Main Cellar A1,1
Bollinger La Grande Année 2009,Champagne & Sparkling,2009,790,Main Cellar A2,1
Krug Grande Cuvée 2016,Champagne & Sparkling,2016,1065,Main Cellar B3,1
Krug Clos du Mesnil 2009,Champagne & Sparkling,2009,245,Fridge 1,1
Veuve Clicquot La Grande Dame 2016,Champagne & Sparkling,2016,430,Guest Pantry 1,1
Krug Vintage 2019,Champagne & Sparkling,2019,1135,Fridge 2,1
Taittinger Comtes de Champagne 2014,Champagne & Sparkling,2014,615,Fridge 1,1
Pol Roger Sir Winston Churchill 1998,Champagne & Sparkling,1998,395,Main Cellar A2,1
Dom Pérignon 2019,Champagne & Sparkling,2019,365,Main Cellar A1,1
Krug Vintage 2006,Champagne & Sparkling,2006,1205,Guest Pantry 1,1
Krug Grande Cuvée 2019,Champagne & Sparkling,2019,280,Wine Fridge Port,1
Bollinger La Grande Année 2016,Champagne & Sparkling,2016,665,Main Cellar B3,1
Krug Vintage 2002,Champagne & Sparkling,2002,430,Main Cellar B1,1
Dom Pérignon 2003,Champagne & Sparkling,2003,500,Guest Pantry 2,1
Salon Le Mesnil Blanc de Blancs 2012,Champagne & Sparkling,2012,595,Wine Fridge Starboard,1
Salon Le Mesnil Blanc de Blancs 2019,Champagne & Sparkling,2019,1415,Wine Fridge Port,1
Pol Roger Sir Winston Churchill 2016,Champagne & Sparkling,2016,255,Main Cellar A1,1
Krug Grande Cuvée 2009,Champagne & Sparkling,2009,505,Main Cellar B3,1
Bollinger La Grande Année 2018,Champagne & Sparkling,2018,1175,Main Cellar A2,1
Veuve Clicquot La Grande Dame 2008,Champagne & Sparkling,2008,570,Wine Fridge Starboard,1
Krug Clos du Mesnil 2008,Champagne & Sparkling,2008,480,Main Cellar A1,1
Krug Grande Cuvée 2008,Champagne & Sparkling,2008,370,Main Cellar A2,1
Krug Grande Cuvée 2018,Champagne & Sparkling,2018,255,Guest Pantry 2,1
Salon Le Mesnil Blanc de Blancs 2016,Champagne & Sparkling,2016,525,Fridge 1,1
Krug Vintage 2009,Champagne & Sparkling,2009,415,Main Cellar B3,1
Krug Vintage 2002,Champagne & Sparkling,2002,1185,Main Cellar A2,1
Dom Pérignon 2005,Champagne & Sparkling,2005,340,Main Cellar B1,1
Krug Vintage 2019,Champagne & Sparkling,2019,515,Fridge 1,1
Dom Pérignon 2012,Champagne & Sparkling,2012,675,Guest Pantry 1,1
Dom Pérignon 1997,Champagne & Sparkling,1997,495,Wine Fridge Starboard,1
Taittinger Comtes de Champagne 2010,Champagne & Sparkling,2010,175,Wine Fridge Starboard,1
Krug Grande Cuvée 2014,Champagne & Sparkling,2014,790,Main Cellar A2,1
